time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20041231:2348,0,0,0,0,0,12.84,1.79,0
20050101:0048,0,0,0,0,0,12.62,1.66,0
20050101:0148,0,0,3.91,0.93,3.9,12.64,1.59,0
20050101:0248,30.86,0,47.02,5.37,15.88,16.75,1.31,0
20050101:0348,166.35,46.6,157.66,12.2,26.78,20.32,2.14,0
20050101:0448,62.94,0,89.53,4.67,35.92,22.22,2.97,0
20050101:0548,129.46,0,169.6,6.65,42.27,23.66,3.24,0
20050101:0648,142.48,0,186.26,6.51,44.64,24.31,2.97,0
20050101:0748,253.31,41.5,275.96,11.32,42.42,24.94,2.76,0
20050101:0848,160.79,11.85,193.79,10.16,36.19,25.32,2.48,0
20050101:0948,299.99,157.89,210.44,16.27,27.13,25.22,2.21,0
20050101:1048,31.89,0,49.82,5.61,16.28,24.74,1.79,0
20050101:1148,14.04,13.27,14.47,2.22,4.32,23.2,0.83,0
20050101:1248,0,0,0,0,0,22.41,0.34,0
20050101:1348,0,0,0,0,0,20.32,0.76,0
20050101:1448,0,0,0,0,0,19.21,0.9,0
20050101:1548,0,0,0,0,0,18.54,0.9,0
20050101:1648,0,0,0,0,0,18.01,0.9,0
20050101:1748,0,0,0,0,0,17.56,0.9,0
20050101:1848,0,0,0,0,0,16.61,1.1,0
20050101:1948,0,0,0,0,0,16.34,0.97,0
20050101:2048,0,0,0,0,0,16.18,0.9,0
20050101:2148,0,0,0,0,0,16.22,0.9,0
20050101:2248,0,0,0,0,0,16.72,0.76,0
20050101:2348,0,0,0,0,0,17.07,0.55,0
20050102:0048,0,0,0,0,0,17.37,0.28,0
20050102:0148,0,0,3.51,0.84,3.85,17.15,0.28,0
20050102:0248,64.78,18.31,68.61,7.71,15.85,18.4,0.28,0
20050102:0348,508.67,399.7,233.11,20.28,26.77,20.28,0.62,0
20050102:0448,292.17,100.54,257.85,14.58,35.93,21.82,1.31,0
20050102:0548,600.16,441.14,324.9,19.31,42.32,23.04,1.59,0
20050102:0648,647.23,528.64,320.06,19.38,44.72,23.1,0.83,0
20050102:0748,621.13,488.1,319.87,19.86,42.54,23.82,1.03,0
20050102:0848,717.06,724.28,226.57,24.3,36.32,24.09,1.03,0
20050102:0948,623.77,576.32,230.67,23.03,27.26,24,0.97,0
20050102:1048,528.94,484.91,180.1,17.22,16.41,22.65,1.1,0
20050102:1148,226.77,218.98,62.1,4.34,4.45,20.36,0.55,0
20050102:1248,0,0,0,0,0,18.41,0.41,0
20050102:1348,0,0,0,0,0,17.8,0.76,0
20050102:1448,0,0,0,0,0,17.35,0.76,0
20050102:1548,0,0,0,0,0,16.71,0.83,0
20050102:1648,0,0,0,0,0,16.03,0.9,0
20050102:1748,0,0,0,0,0,15.84,0.83,0
20050102:1848,0,0,0,0,0,16,0.48,0
20050102:1948,0,0,0,0,0,15.86,0.41,0
20050102:2048,0,0,0,0,0,15.66,0.21,0
20050102:2148,0,0,0,0,0,15.53,0,0
20050102:2248,0,0,0,0,0,15.33,0.48,0
20050102:2348,0,0,0,0,0,14.53,0.69,0
20050103:0048,0,0,0,0,0,14.01,0.76,0
20050103:0148,1.45,0,7.4,1.77,3.8,14,0.76,0
20050103:0248,488.98,433.05,163.65,15.71,15.81,16.56,0.48,0
20050103:0348,626.67,564.26,219.21,22.38,26.75,18.45,1.1,0
20050103:0448,735.07,722.21,219.38,24.16,35.95,19.55,1.52,0
20050103:0548,774.54,798.27,209.36,22.82,42.37,20.9,1.72,0
20050103:0648,758.93,740.59,245.15,21.28,44.82,22.53,2.21,0
20050103:0748,303.16,72.31,299.2,12.51,42.66,20.78,2.21,0
20050103:0848,556.93,393.8,300.75,20.45,36.46,21.4,1.72,0
20050103:0948,701.88,688.8,205.14,24.24,27.4,21.44,1.86,0
20050103:1048,568.05,526.66,179.44,17.74,16.55,20.44,1.52,0
20050103:1148,247.69,237.67,66.04,4.51,4.59,19.73,1.31,0
20050103:1248,0,0,0,0,0,18.43,1.17,0
20050103:1348,0,0,0,0,0,17.72,1.17,0
20050103:1448,0,0,0,0,0,17.09,1.31,0
20050103:1548,0,0,0,0,0,16.75,1.31,0
20050103:1648,0,0,0,0,0,16.57,1.24,0
20050103:1748,0,0,0,0,0,16.05,1.38,0
20050103:1848,0,0,0,0,0,16.42,1.59,0
20050103:1948,0,0,0,0,0,16.03,2,0
20050103:2048,0,0,0,0,0,15.66,2.28,0
20050103:2148,0,0,0,0,0,15.32,2.41,0
20050103:2248,0,0,0,0,0,14.8,2.41,0
20050103:2348,0,0,0,0,0,14.3,2.48,0
20050104:0048,0,0,0,0,0,14.09,2.48,0
20050104:0148,1.45,0,7.4,1.78,3.75,14.09,2.41,0
20050104:0248,445.49,360.3,159.04,14.85,15.78,14.82,3.45,0
20050104:0348,613.11,508.83,226.9,21.72,26.75,16.53,3.03,0
20050104:0448,723.15,667.32,238.3,23.6,35.97,18.74,2.34,0
20050104:0548,771.93,782.51,217,22.67,42.43,20.43,1.79,0
20050104:0648,773.42,815.77,210.69,21.84,44.92,21.71,1.17,0
20050104:0748,773.1,821.46,203.52,22.93,42.79,22.69,1.38,0
20050104:0848,755.93,783.33,204.3,24.8,36.6,22.84,1.72,0
20050104:0948,679.46,653.08,214.49,23.87,27.54,22.69,1.86,0
20050104:1048,549.01,498,181.15,17.54,16.69,21.92,2.21,0
20050104:1148,256.98,243.02,71.67,4.77,4.72,20.6,2.07,0
20050104:1248,0,0,0,0,0,18.97,1.93,0
20050104:1348,0,0,0,0,0,17.94,1.72,0
20050104:1448,0,0,0,0,0,16.91,1.72,0
20050104:1548,0,0,0,0,0,16.01,1.66,0
20050104:1648,0,0,0,0,0,15.36,1.59,0
20050104:1748,0,0,0,0,0,14.69,1.52,0
20050104:1848,0,0,0,0,0,14.05,1.59,0
20050104:1948,0,0,0,0,0,13.42,1.52,0
20050104:2048,0,0,0,0,0,12.95,1.52,0
20050104:2148,0,0,0,0,0,12.42,1.52,0
20050104:2248,0,0,0,0,0,12.45,1.45,0
20050104:2348,0,0,0,0,0,11.86,1.45,0
20050105:0048,0,0,0,0,0,11.44,1.45,0
20050105:0148,1.25,0,7,1.68,3.71,11.77,1.24,0
20050105:0248,458.08,390.29,160.41,15.15,15.76,15.7,0.83,0
20050105:0348,660.09,635.5,204.66,23.15,26.75,19.23,0.83,0
20050105:0448,707.9,722.97,219.29,24.15,36,21.13,0.21,0
20050105:0548,754.37,782.97,216.86,22.64,42.5,22.53,1.17,0
20050105:0648,779.4,815.66,210.43,21.77,45.02,23.46,2,0
20050105:0748,793.47,853.17,188.35,23.13,42.92,23.92,2.34,0
20050105:0848,766.58,799.05,198.32,24.91,36.74,24.12,2.41,0
20050105:0948,701.08,692.93,206.01,24.36,27.69,23.92,2.28,0
20050105:1048,574.63,538.78,181.84,18.12,16.83,23.33,2.07,0
20050105:1148,271.67,259.77,75.44,4.94,4.86,21.93,1.59,0
20050105:1248,0,0,0,0,0,20.09,1.52,0
20050105:1348,0,0,0,0,0,18.39,1.52,0
20050105:1448,0,0,0,0,0,17.04,1.52,0
20050105:1548,0,0,0,0,0,15.82,1.52,0
20050105:1648,0,0,0,0,0,14.84,1.59,0
20050105:1748,0,0,0,0,0,14.16,1.45,0
20050105:1848,0,0,0,0,0,13.52,1.52,0
20050105:1948,0,0,0,0,0,13.19,1.38,0
20050105:2048,0,0,0,0,0,12.8,1.31,0
20050105:2148,0,0,0,0,0,12.56,1.31,0
20050105:2248,0,0,0,0,0,12.34,1.31,0
20050105:2348,0,0,0,0,0,12.16,1.31,0
20050106:0048,0,0,0,0,0,12.05,1.31,0
20050106:0148,1.24,0,6.99,1.68,3.67,12.22,1.24,0
20050106:0248,516.13,468.16,161.64,15.96,15.74,16.49,0.76,0
20050106:0348,669.43,659.83,197.6,23.37,26.75,20.5,0.97,0
20050106:0448,728,749.53,209.65,24.41,36.04,22.34,0.97,0
20050106:0548,767.88,814.36,202.25,22.86,42.58,23.56,1.59,0
20050106:0648,781.15,816.86,210.24,21.72,45.14,23.9,2.21,0
20050106:0748,697.73,610.73,289.5,20.94,43.06,24.17,2.41,0
20050106:0848,725.71,699.62,237.99,23.94,36.89,24.24,2.41,0
20050106:0948,688.08,668.06,212.44,24.09,27.84,24.02,2.28,0
20050106:1048,554.31,510.31,183.66,17.91,16.98,23.68,2.07,0
20050106:1148,288.51,275.48,81.44,5.2,5,22.38,1.38,0
20050106:1248,0,0,0,0,0,20.63,1.17,0
20050106:1348,0,0,0,0,0,18.94,1.45,0
20050106:1448,0,0,0,0,0,17.71,1.79,0
20050106:1548,0,0,0,0,0,17.11,1.93,0
20050106:1648,0,0,0,0,0,16.48,1.93,0
20050106:1748,0,0,0,0,0,15.86,1.86,0
20050106:1848,0,0,0,0,0,15.91,1.86,0
20050106:1948,0,0,0,0,0,15.32,1.86,0
20050106:2048,0,0,0,0,0,14.78,1.86,0
20050106:2148,0,0,0,0,0,14.47,1.86,0
20050106:2248,0,0,0,0,0,13.92,1.93,0
20050106:2348,0,0,0,0,0,13.46,1.93,0
20050107:0048,0,0,0,0,0,13.26,1.86,0
20050107:0148,1.23,0,6.99,1.69,3.64,13.19,1.79,0
20050107:0248,551.55,501.78,161.6,16.33,15.73,15.34,1.72,0
20050107:0348,673.52,635.16,204.55,23.14,26.76,18.32,1.72,0
20050107:0448,731.26,721.59,220.25,24.13,36.08,20.36,1.45,0
20050107:0548,749.96,783.57,217.78,22.6,42.66,21.98,0.76,0
20050107:0648,781.82,848.93,194.24,21.9,45.26,22.56,1.24,0
20050107:0748,787.85,854.43,187.74,22.99,43.21,23.14,1.72,0
20050107:0848,766.54,799.99,198.86,24.84,37.05,23.21,2.07,0
20050107:0948,711.92,707.26,202.01,24.51,28,22.86,2.28,0
20050107:1048,591.19,553.54,180.99,18.41,17.13,22.13,2.48,0
20050107:1148,307.34,290.21,84.86,5.37,5.14,20.74,2.14,0
20050107:1248,0,0,0,0,0,19,2.07,0
20050107:1348,0,0,0,0,0,17.78,2,0
20050107:1448,0,0,0,0,0,16.73,1.86,0
20050107:1548,0,0,0,0,0,15.92,1.79,0
20050107:1648,0,0,0,0,0,15.06,1.86,0
20050107:1748,0,0,0,0,0,14.31,1.86,0
20050107:1848,0,0,0,0,0,13.48,1.86,0
20050107:1948,0,0,0,0,0,12.76,1.86,0
20050107:2048,0,0,0,0,0,12.12,1.93,0
20050107:2148,0,0,0,0,0,11.5,1.86,0
20050107:2248,0,0,0,0,0,10.86,1.86,0
20050107:2348,0,0,0,0,0,10.17,1.79,0
20050108:0048,0,0,0,0,0,9.47,1.72,0
20050108:0148,1.27,0,6.98,1.69,3.61,9.2,1.59,0
20050108:0248,525.44,465.15,161.15,15.89,15.72,13.16,1.24,0
20050108:0348,708.29,696.95,188.59,23.79,26.78,16.36,1.38,0
20050108:0448,754.83,780.09,195.67,24.62,36.13,18.67,1.1,0
20050108:0548,767.51,814.66,203.14,22.8,42.75,20.46,0.83,0
20050108:0648,778.01,833,201.86,21.7,45.39,21.55,1.1,0
20050108:0748,774.82,824.33,203.58,22.69,43.36,22.37,1.31,0
20050108:0848,751.31,772.21,211.01,24.54,37.21,22.71,1.59,0
20050108:0948,691.2,669.68,214.35,24.19,28.16,22.53,1.86,0
20050108:1048,599.56,569.01,179.33,18.63,17.28,21.71,2.07,0
20050108:1148,249.3,228.03,77.01,5.18,5.28,20.05,1.79,0
20050108:1248,0,0,0,0,0,17.92,1.72,0
20050108:1348,0,0,0,0,0,16.08,1.59,0
20050108:1448,0,0,0,0,0,14.27,1.45,0
20050108:1548,0,0,0,0,0,13.54,1.31,0
20050108:1648,0,0,0,0,0,13.64,1.1,0
20050108:1748,0,0,0,0,0,14.15,0.97,0
20050108:1848,0,0,0,0,0,12.94,1.1,0
20050108:1948,0,0,0,0,0,13.18,1.03,0
20050108:2048,0,0,0,0,0,12.86,1.1,0
20050108:2148,0,0,0,0,0,13.44,0.97,0
20050108:2248,0,0,0,0,0,13.45,0.9,0
20050108:2348,0,0,0,0,0,13.29,0.83,0
20050109:0048,0,0,0,0,0,13.03,0.83,0
20050109:0148,1.01,0,6.59,1.59,3.59,12.92,0.9,0
20050109:0248,545.09,502.19,159.95,16.26,15.71,13.45,0.41,0
20050109:0348,684.62,696.42,188.43,23.78,26.8,18.6,0.34,0
20050109:0448,728.83,750.26,209.27,24.37,36.19,20.54,0.62,0
20050109:0548,772.77,814.64,202.9,22.75,42.85,21.87,1.45,0
20050109:0648,784.33,833.87,201.6,21.63,45.52,22.68,1.72,0
20050109:0748,768.25,779.78,224.19,22.23,43.52,23.22,2.14,0
20050109:0848,759.89,772.56,211.9,24.52,37.38,23.32,2.34,0
20050109:0948,716.21,710.41,202.62,24.6,28.32,22.98,2.48,0
20050109:1048,602.12,570.79,180.48,18.77,17.43,22.1,2.28,0
20050109:1148,266.55,243.05,83.07,5.43,5.43,20.34,1.72,0
20050109:1248,0,0,0,0,0,18.18,1.59,0
20050109:1348,0,0,0,0,0,15.98,1.38,0
20050109:1448,0,0,0,0,0,15.67,1.03,0
20050109:1548,0,0,0,0,0,16.31,0.69,0
20050109:1648,0,0,0,0,0,15.75,0.48,0
20050109:1748,0,0,0,0,0,15.36,0.41,0
20050109:1848,0,0,0,0,0,14.96,0.48,0
20050109:1948,0,0,0,0,0,14.86,0.48,0
20050109:2048,0,0,0,0,0,14.7,0.48,0
20050109:2148,0,0,0,0,0,14.55,0.55,0
20050109:2248,0,0,0,0,0,14.36,0.69,0
20050109:2348,0,0,0,0,0,14.02,0.83,0
20050110:0048,0,0,0,0,0,13.13,0.9,0
20050110:0148,1.01,0,6.59,1.59,3.57,12.55,0.97,0
20050110:0248,548.13,502.17,159.95,16.26,15.71,13.03,0.62,0
20050110:0348,696.74,697.97,186.95,23.76,26.83,19.3,1.31,0
20050110:0448,752.97,750.84,209.14,24.36,36.25,20.92,2.34,0
20050110:0548,794.73,815.99,201.45,22.69,42.95,22.07,3.17,0
20050110:0648,808.53,834.63,201.33,21.55,45.67,23.08,3.79,0
20050110:0748,800.37,810.7,210.81,22.42,43.69,23.61,4.14,0
20050110:0848,783.74,789.22,204.7,24.6,37.55,23.86,4.28,0
20050110:0948,729.24,712.89,202.25,24.64,28.49,23.75,4.14,0
20050110:1048,617.31,582.37,181.67,19.05,17.59,23.13,3.66,0
20050110:1148,283.07,257.2,89.1,5.69,5.58,21.48,2.48,0
20050110:1248,0,0,0,0,0,19.55,2.21,0
20050110:1348,0,0,0,0,0,18.19,2.21,0
20050110:1448,0,0,0,0,0,17.13,2.21,0
20050110:1548,0,0,0,0,0,16.17,2.21,0
20050110:1648,0,0,0,0,0,15.15,2.21,0
20050110:1748,0,0,0,0,0,14.19,2.21,0
20050110:1848,0,0,0,0,0,13.34,2.21,0
20050110:1948,0,0,0,0,0,12.38,2,0
20050110:2048,0,0,0,0,0,11.63,1.93,0
20050110:2148,0,0,0,0,0,10.98,1.86,0
20050110:2248,0,0,0,0,0,10.43,1.79,0
20050110:2348,0,0,0,0,0,10.08,1.66,0
20050111:0048,0,0,0,0,0,10.12,1.38,0
20050111:0148,1.04,0,6.59,1.59,3.55,10.08,1.24,0
20050111:0248,523.45,465.07,161.13,15.89,15.72,13.54,1.1,0
20050111:0348,702.45,672.83,194.37,23.52,26.86,16.42,2,0
20050111:0448,775.56,780,196.51,24.58,36.32,18.2,2.41,0
20050111:0548,794.86,815.77,202.46,22.65,43.06,19.67,2.34,0
20050111:0648,800.2,835.3,201.03,21.47,45.82,20.83,2.28,0
20050111:0748,792.14,811.04,211.69,22.35,43.86,21.43,2.48,0
20050111:0848,776.98,789.34,205.56,24.57,37.73,21.55,2.62,0
20050111:0948,714.23,688.15,210.37,24.41,28.66,21.26,2.69,0
20050111:1048,621.48,587.12,179.62,19.12,17.75,20.45,2.69,0
20050111:1148,302.42,270.54,95.11,5.94,5.73,19.1,2.34,0
20050111:1248,0,0,0,0,0,17.4,2.21,0
20050111:1348,0,0,0,0,0,16.19,2.14,0
20050111:1448,0,0,0,0,0,15.2,1.93,0
20050111:1548,0,0,0,0,0,14.21,1.86,0
20050111:1648,0,0,0,0,0,13.03,1.72,0
20050111:1748,0,0,0,0,0,11.96,1.72,0
20050111:1848,0,0,0,0,0,11.08,1.72,0
20050111:1948,0,0,0,0,0,10.3,1.72,0
20050111:2048,0,0,0,0,0,9.67,1.79,0
20050111:2148,0,0,0,0,0,9.17,1.86,0
20050111:2248,0,0,0,0,0,8.81,1.93,0
20050111:2348,0,0,0,0,0,8.53,2,0
20050112:0048,0,0,0,0,0,8.29,2,0
20050112:0148,1.06,0,6.59,1.6,3.54,8.31,1.93,0
20050112:0248,530.99,464.76,161,15.89,15.73,12.36,1.86,0
20050112:0348,722.66,698.45,186.72,23.76,26.9,15.36,2.34,0
20050112:0448,774.11,780.31,196.31,24.56,36.4,17.47,2.07,0
20050112:0548,774.98,786.22,216.68,22.35,43.18,19.08,1.52,0
20050112:0648,779.85,805.27,216.29,21.16,45.97,20.35,1.45,0
20050112:0748,767.65,782.53,224.36,22.01,44.04,21.23,1.45,0
20050112:0848,752.29,761.7,217.39,24.25,37.91,21.67,1.59,0
20050112:0948,691.71,663.61,218.05,24.18,28.83,21.67,1.79,0
20050112:1048,595.91,555.95,185.22,18.97,17.91,21.06,2,0
20050112:1148,312.58,283.13,96.49,6.1,5.88,19.62,1.93,0
20050112:1248,0,0,0,0,0,17.54,2,0
20050112:1348,0,0,0,0,0,15.96,1.86,0
20050112:1448,0,0,0,0,0,14.67,1.79,0
20050112:1548,0,0,0,0,0,13.48,1.86,0
20050112:1648,0,0,0,0,0,12.24,1.79,0
20050112:1748,0,0,0,0,0,11.09,1.66,0
20050112:1848,0,0,0,0,0,10.19,1.66,0
20050112:1948,0,0,0,0,0,9.64,1.59,0
20050112:2048,0,0,0,0,0,9.19,1.59,0
20050112:2148,0,0,0,0,0,8.86,1.59,0
20050112:2248,0,0,0,0,0,8.7,1.59,0
20050112:2348,0,0,0,0,0,8.55,1.52,0
20050113:0048,0,0,0,0,0,8.32,1.52,0
20050113:0148,1.05,0,6.58,1.6,3.53,8.38,1.45,0
20050113:0248,551.2,501.15,159.55,16.25,15.75,12.17,0.83,0
20050113:0348,664.28,635.59,203.87,23.13,26.94,16.95,0.62,0
20050113:0448,731.71,751.9,208.57,24.29,36.48,19.21,0.48,0
20050113:0548,765.04,787.33,216.46,22.3,43.3,20.93,1.31,0
20050113:0648,786.19,836.34,201.63,21.32,46.14,22,1.59,0
20050113:0748,771.57,798.56,217.52,22.05,44.23,22.84,1.72,0
20050113:0848,751.22,763.4,216.99,24.21,38.1,23.19,1.86,0
20050113:0948,690.04,664.03,218.86,24.21,29.01,23.05,2,0
20050113:1048,594.78,557.49,186.23,19.1,18.08,22.26,2.07,0
20050113:1148,331.48,304.53,100.11,6.35,6.03,20.54,1.79,0
20050113:1248,0,0,0,0,0,18.26,1.72,0
20050113:1348,0,0,0,0,0,16.27,1.52,0
20050113:1448,0,0,0,0,0,14.27,1.45,0
20050113:1548,0,0,0,0,0,13.22,1.45,0
20050113:1648,0,0,0,0,0,12.5,1.45,0
20050113:1748,0,0,0,0,0,12.27,1.31,0
20050113:1848,0,0,0,0,0,12.01,1.24,0
20050113:1948,0,0,0,0,0,12.15,1.1,0
20050113:2048,0,0,0,0,0,12.75,1.03,0
20050113:2148,0,0,0,0,0,12.96,0.9,0
20050113:2248,0,0,0,0,0,12.97,0.83,0
20050113:2348,0,0,0,0,0,12.95,0.55,0
20050114:0048,0,0,0,0,0,12.95,0.41,0
20050114:0148,1,0,6.58,1.6,3.53,13.15,0.34,0
20050114:0248,513.35,463.7,162.3,15.95,15.77,14.6,0.21,0
20050114:0348,675.94,671.95,195.26,23.54,26.99,18.73,0.55,0
20050114:0448,738.92,752.03,208.32,24.26,36.56,20.47,1.17,0
20050114:0548,767.54,786.88,217.37,22.25,43.43,21.74,1.66,0
20050114:0648,780.84,821.52,209.1,21.1,46.31,22.67,1.72,0
20050114:0748,769.32,798.7,218.33,21.97,44.42,23.28,1.66,0
20050114:0848,723.98,706.9,239.76,23.62,38.29,23.48,1.59,0
20050114:0948,705.78,705.38,207.51,24.64,29.19,23.21,1.66,0
20050114:1048,629.03,616.42,177.98,19.71,18.25,22.35,1.86,0
20050114:1148,121.13,102.08,53.34,4.91,6.19,20.65,1.79,0
20050114:1248,0,0,0,0,0,18.83,1.72,0
20050114:1348,0,0,0,0,0,17.39,1.59,0
20050114:1448,0,0,0,0,0,16.25,1.45,0
20050114:1548,0,0,0,0,0,15.08,1.45,0
20050114:1648,0,0,0,0,0,14.09,1.45,0
20050114:1748,0,0,0,0,0,13.53,1.31,0
20050114:1848,0,0,0,0,0,13.5,1.17,0
20050114:1948,0,0,0,0,0,13.36,1.03,0
20050114:2048,0,0,0,0,0,13.69,0.9,0
20050114:2148,0,0,0,0,0,13.72,0.76,0
20050114:2248,0,0,0,0,0,13.57,0.83,0
20050114:2348,0,0,0,0,0,13.55,0.83,0
20050115:0048,0,0,0,0,0,13.47,0.9,0
20050115:0148,1,0,6.58,1.6,3.54,13.27,0.97,0
20050115:0248,577.63,551.13,155.67,16.74,15.79,14.07,0.55,0
20050115:0348,656.48,635.49,204.93,23.17,27.05,19.8,0.69,0
20050115:0448,662.33,594.61,261.13,22.65,36.66,21.34,0.9,0
20050115:0548,753.19,773.29,223.59,22.06,43.57,22.52,1.24,0
20050115:0648,767.31,791.52,224.09,20.78,46.48,23.6,1.72,0
20050115:0748,769.1,800.18,217.95,21.88,44.61,24.29,1.86,0
20050115:0848,752.95,779.39,211.95,24.25,38.48,24.59,1.86,0
20050115:0948,702.02,707.47,207.04,24.66,29.37,24.57,1.66,0
20050115:1048,594.66,576.12,184.14,19.43,18.42,24.1,1.31,0
20050115:1148,347.7,325.91,106.73,6.85,6.34,22.67,0.83,0
20050115:1248,0,0,0,0,0,21.15,0.55,0
20050115:1348,0,0,0,0,0,19.3,0.9,0
20050115:1448,0,0,0,0,0,16.69,1.38,0
20050115:1548,0,0,0,0,0,14.93,1.66,0
20050115:1648,0,0,0,0,0,13.74,1.79,0
20050115:1748,0,0,0,0,0,12.95,1.86,0
20050115:1848,0,0,0,0,0,12.48,1.93,0
20050115:1948,0,0,0,0,0,11.97,1.86,0
20050115:2048,0,0,0,0,0,11.43,1.86,0
20050115:2148,0,0,0,0,0,11.02,1.72,0
20050115:2248,0,0,0,0,0,10.75,1.72,0
20050115:2348,0,0,0,0,0,10.55,1.72,0
20050116:0048,0,0,0,0,0,10.27,1.79,0
20050116:0148,1.03,0,6.59,1.59,3.54,10.44,1.93,0
20050116:0248,496.52,429.06,162.74,15.64,15.82,15.02,1.66,0
20050116:0348,677.47,636.36,204.82,23.19,27.11,20.19,2.69,0
20050116:0448,752.38,725.23,219.94,23.97,36.76,21.92,3.72,0
20050116:0548,755.64,701.79,254.34,21.38,43.72,23.2,4.14,0
20050116:0648,780.67,761.63,238.67,20.45,46.67,23.99,3.93,0
20050116:0748,802.49,831.38,203.12,22.02,44.82,24.58,3.86,0
20050116:0848,255.41,57.6,258.88,12.71,38.68,24.84,3.79,0
20050116:0948,491.81,346.63,257.21,20.17,29.56,24.6,3.59,0
20050116:1048,562.46,505.1,190.85,18.8,18.59,24.01,3.31,0
20050116:1148,302.87,273.89,98.4,6.65,6.5,22.77,2.28,0
20050116:1248,0,0,0,0,0,21.29,2.14,0
20050116:1348,0,0,0,0,0,20.38,1.72,0
20050116:1448,0,0,0,0,0,19.08,1.66,0
20050116:1548,0,0,0,0,0,17.54,1.24,0
20050116:1648,0,0,0,0,0,16.35,1.03,0
20050116:1748,0,0,0,0,0,15.83,0.83,0
20050116:1848,0,0,0,0,0,15.65,0.34,0
20050116:1948,0,0,0,0,0,14.16,0.97,0
20050116:2048,0,0,0,0,0,13.72,1.31,0
20050116:2148,0,0,0,0,0,13.76,1.52,0
20050116:2248,0,0,0,0,0,13.49,1.66,0
20050116:2348,0,0,0,0,0,13.67,1.79,0
20050117:0048,0,0,0,0,0,13.59,1.93,0
20050117:0148,0.79,0,6.2,1.5,3.56,13.8,2,0
20050117:0248,351,267.11,146.79,13.66,15.86,15.88,1.72,0
20050117:0348,500.48,365.62,234.7,19.83,27.18,18.11,2.41,0
20050117:0448,608.46,456.74,289.64,20.96,36.86,19.76,2.97,0
20050117:0548,759.28,715.74,249.12,21.43,43.87,21.07,2.97,0
20050117:0648,791.52,793.52,223.37,20.57,46.86,21.89,3.03,0
20050117:0748,756.94,699.72,263,20.83,45.03,22.5,3.52,0
20050117:0848,783.92,782.09,211.02,24.12,38.89,22.46,3.79,0
20050117:0948,739.12,723.49,203.07,24.84,29.75,22.36,3.72,0
20050117:1048,601.28,547.24,190.28,19.4,18.76,21.72,3.52,0
20050117:1148,327.82,293.3,104.08,6.98,6.66,20.53,2.69,0
20050117:1248,0,0,0,0,0,18.85,2.28,0
20050117:1348,0,0,0,0,0,17.57,2.14,0
20050117:1448,0,0,0,0,0,16.47,2.21,0
20050117:1548,0,0,0,0,0,15.49,2.28,0
20050117:1648,0,0,0,0,0,14.51,2.21,0
20050117:1748,0,0,0,0,0,13.37,2.07,0
20050117:1848,0,0,0,0,0,12.37,2.14,0
20050117:1948,0,0,0,0,0,11.18,2,0
20050117:2048,0,0,0,0,0,10.26,1.93,0
20050117:2148,0,0,0,0,0,9.55,1.86,0
20050117:2248,0,0,0,0,0,9.28,1.72,0
20050117:2348,0,0,0,0,0,9.02,1.66,0
20050118:0048,0,0,0,0,0,8.8,1.52,0
20050118:0148,1.05,0,6.59,1.59,3.57,9.11,1.24,0
20050118:0248,560.16,510.97,160.54,16.48,15.9,12.12,0.9,0
20050118:0348,702.64,674.85,194.63,23.58,27.25,15.49,1.59,0
20050118:0448,771.02,769.78,201.96,24.31,36.98,17.35,2.07,0
20050118:0548,796.74,804.35,209.59,22.08,44.02,18.79,2.48,0
20050118:0648,806.46,825.13,208.91,20.72,47.05,19.85,2.62,0
20050118:0748,803.1,818.23,210.14,21.69,45.24,20.35,2.76,0
20050118:0848,770.93,754.79,222.57,23.79,39.1,20.46,2.83,0
20050118:0948,727.78,699.22,211.15,24.59,29.94,20.13,2.83,0
20050118:1048,641.41,603.98,184.28,20.06,18.94,19.37,2.76,0
20050118:1148,341.75,303.33,107.22,7.23,6.82,18.11,2.21,0
20050118:1248,0,0,0,0,0,16.42,2.07,0
20050118:1348,0,0,0,0,0,15.19,2,0
20050118:1448,0,0,0,0,0,14.08,1.86,0
20050118:1548,0,0,0,0,0,12.91,1.79,0
20050118:1648,0,0,0,0,0,11.83,1.86,0
20050118:1748,0,0,0,0,0,11.12,2.14,0
20050118:1848,0,0,0,0,0,10.73,2.28,0
20050118:1948,0,0,0,0,0,10.3,2.34,0
20050118:2048,0,0,0,0,0,9.97,2.34,0
20050118:2148,0,0,0,0,0,9.65,2.34,0
20050118:2248,0,0,0,0,0,9.35,2.34,0
20050118:2348,0,0,0,0,0,9.08,2.41,0
20050119:0048,0,0,0,0,0,8.97,2.48,0
20050119:0148,0.43,0,5.43,1.31,3.6,9,2.48,0
20050119:0248,515.79,433.09,161.27,15.67,15.95,10.62,3.03,0
20050119:0348,708.11,638.22,204.23,23.21,27.33,12.7,3.24,0
20050119:0448,795.49,769.35,202.95,24.29,37.09,14.53,3.24,0
20050119:0548,812.45,804.86,209.24,22,44.19,16.1,2.9,0
20050119:0648,814.8,825.14,209.7,20.61,47.26,17.22,2.41,0
20050119:0748,804.52,819.35,209.71,21.57,45.46,18.07,2.14,0
20050119:0848,786,798.72,204.53,24.11,39.31,18.52,2,0
20050119:0948,727.44,701.07,212.12,24.65,30.14,18.56,2.07,0
20050119:1048,644.23,607.76,183.85,20.18,19.11,18.08,2.28,0
