time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050723:0248,607.85,530.79,216.54,20.65,33.5,23.46,4.41,0
20050723:0348,487.65,276.48,327.37,14.01,47.24,24.33,4.28,0
20050723:0448,430.1,138.24,406.42,6.73,61.08,25.05,3.79,0
20050723:0548,640.81,456.68,380.22,2.81,74.94,26.15,3.45,0
20050723:0648,699.36,613.55,310.16,0.08,87.57,26.14,3.17,0
20050723:0748,721.69,695.52,259.62,2.48,76.75,26.33,3.1,0
20050723:0848,696.68,629.06,281.26,9.05,62.9,25.73,3.03,0
20050723:0948,636.74,521.65,292.45,16.05,49.05,24.96,2.9,0
20050723:1048,412.83,245.75,262.5,16.93,35.3,24.66,2.9,0
20050723:1148,149.03,64.89,122.41,11.15,21.71,24.71,2.76,0
20050723:1248,32.89,20.6,31.07,4.19,8.37,24.4,2,0
20050723:1348,0,0,0,0,0,24.03,1.66,0
20050723:1448,0,0,0,0,0,23.73,1.24,0
20050723:1548,0,0,0,0,0,23.6,1.31,0
20050723:1648,0,0,0,0,0,23.47,1.45,0
20050723:1748,0,0,0,0,0,23.47,1.66,0
20050723:1848,0,0,0,0,0,23.31,1.59,0
20050723:1948,0,0,0,0,0,23.14,1.45,0
20050723:2048,0,0,0,0,0,22.8,1.93,0
20050723:2148,0,0,0,0,0,22.44,2.28,0
20050723:2248,0,0,0,0,0,22.09,2.48,0
20050723:2348,0,0,0,0,0,21.86,2.62,0
20050724:0048,4.24,0,12.78,2.04,6.57,21.72,2.76,0
20050724:0148,62.01,11.77,73.36,7.26,19.87,21.71,2.9,0
20050724:0248,85.1,0,114.63,6.64,33.45,21.92,2.83,0
20050724:0348,42.67,0,66.69,2.05,47.19,21.89,2.55,0
20050724:0448,199.25,1.14,255.89,3.43,61.04,22.33,2.83,0
20050724:0548,333.44,25.9,399.63,1.49,74.89,22.86,3.31,0
20050724:0648,398.88,54.06,459.81,0.05,87.38,24.9,3.72,0
20050724:0748,315.72,17.47,391.01,1.11,76.71,25.3,3.38,0
20050724:0848,239.26,6.74,301.79,3.58,62.87,24.42,3.1,0
20050724:0948,212.51,14.57,255.41,7.35,49.02,23.68,2.97,0
20050724:1048,76.31,0,105.53,5.67,35.26,23.13,2.28,0
20050724:1148,81.28,16.26,91.91,8.52,21.65,22.98,1.72,0
20050724:1248,6.66,0,16.55,2.48,8.31,22.82,2.48,0
20050724:1348,0,0,0,0,0,22.56,2.28,0
20050724:1448,0,0,0,0,0,22.24,1.93,0
20050724:1548,0,0,0,0,0,22,1.79,0
20050724:1648,0,0,0,0,0,21.88,1.59,0
20050724:1748,0,0,0,0,0,21.75,1.59,0
20050724:1848,0,0,0,0,0,21.65,1.38,0
20050724:1948,0,0,0,0,0,21.41,1.31,0
20050724:2048,0,0,0,0,0,21.36,1.38,0
20050724:2148,0,0,0,0,0,21.13,1.38,0
20050724:2248,0,0,0,0,0,21.12,1.59,0
20050724:2348,0,0,0,0,0,21.25,1.59,0
20050725:0048,0,0,3.89,0.62,6.49,21.42,1.59,0
20050725:0148,13.93,0,27.39,2.71,19.81,21.51,1.66,0
20050725:0248,28.27,0,47.22,2.74,33.39,21.76,1.79,0
20050725:0348,47.54,0,72.73,2.24,47.14,22.01,2.48,0
20050725:0448,83.4,0,118.05,1.58,60.99,22.24,3.03,0
20050725:0548,80.25,0,115.93,0.41,74.84,23.27,3.59,0
20050725:0648,112.96,0,156.9,0.02,87.18,23.83,2.76,0
20050725:0748,121.6,0,167.69,0.46,76.67,24.8,3.03,0
20050725:0848,89.79,0,127.51,1.49,62.84,24.96,2.83,0
20050725:0948,105.51,0,144.63,4.05,48.98,25.67,2.55,0
20050725:1048,43.42,0,66.91,3.6,35.21,24.79,1.86,0
20050725:1148,29.57,0,47.79,4.42,21.6,24.24,1.52,0
20050725:1248,23.93,13.96,26.32,3.68,8.24,23.72,1.52,0
20050725:1348,0,0,0,0,0,23.01,1.59,0
20050725:1448,0,0,0,0,0,22.59,1.45,0
20050725:1548,0,0,0,0,0,22.5,1.45,0
20050725:1648,0,0,0,0,0,22.36,1.45,0
20050725:1748,0,0,0,0,0,22.25,1.31,0
20050725:1848,0,0,0,0,0,22.47,1.79,0
20050725:1948,0,0,0,0,0,22.34,1.86,0
20050725:2048,0,0,0,0,0,22.12,1.72,0
20050725:2148,0,0,0,0,0,21.94,1.72,0
20050725:2248,0,0,0,0,0,21.8,1.79,0
20050725:2348,0,0,0,0,0,21.67,1.79,0
20050726:0048,1.88,0,8.87,1.42,6.41,21.63,1.72,0
20050726:0148,9.04,0,20.69,2.05,19.74,21.73,1.93,0
20050726:0248,176.75,40.03,179.94,10.95,33.33,22.1,2.41,0
20050726:0348,129.53,0,170.5,5.27,47.1,22.78,3.1,0
20050726:0448,58.38,0,88.05,1.18,60.95,23.57,3.24,0
20050726:0548,369.8,47.67,428.71,1.69,74.79,24.74,2.97,0
20050726:0648,427.68,80.11,475.77,0.08,86.97,25.05,2.55,0
20050726:0748,522.44,212.78,469.71,1.84,76.61,25.65,2.48,0
20050726:0848,178.81,0,237.97,2.79,62.8,26.81,2.48,0
20050726:0948,180.11,5.31,230.26,6.54,48.94,27.3,2.76,0
20050726:1048,49,0,73.97,3.99,35.16,25.71,2.21,0
20050726:1148,10.96,0,23.88,2.22,21.54,25.79,2,0
20050726:1248,14.2,7.04,20.61,3,8.16,25.14,1.79,0
20050726:1348,0,0,0,0,0,23.64,1.93,0
20050726:1448,0,0,0,0,0,22.79,1.79,0
20050726:1548,0,0,0,0,0,22.48,2,0
20050726:1648,0,0,0,0,0,22.28,1.86,0
20050726:1748,0,0,0,0,0,22.08,1.66,0
20050726:1848,0,0,0,0,0,21.75,1.1,0
20050726:1948,0,0,0,0,0,21.75,1.03,0
20050726:2048,0,0,0,0,0,21.81,0.97,0
20050726:2148,0,0,0,0,0,21.86,1.24,0
20050726:2248,0,0,0,0,0,21.86,1.45,0
20050726:2348,0,0,0,0,0,21.81,1.31,0
20050727:0048,0,0,2.21,0.36,6.32,21.86,1.31,0
20050727:0148,6.73,0,17.34,1.72,19.67,21.95,1.17,0
20050727:0248,15.71,0,30.93,1.81,33.28,22.01,1.24,0
20050727:0348,30.12,0,51.05,1.58,47.05,22.4,1.1,0
20050727:0448,166.54,0,219.14,2.95,60.91,22.38,1.03,0
20050727:0548,69.76,0,103.13,0.37,74.73,22.77,1.17,0
20050727:0648,227.93,0,298.76,0.05,86.76,22.96,1.38,0
20050727:0748,189.49,0,251.48,0.7,76.56,23.86,1.24,0
20050727:0848,44.96,0,71.76,0.84,62.75,24.35,1.38,0
20050727:0948,81.02,0,114.76,3.23,48.89,24.54,1.52,0
20050727:1048,195.01,43.47,200.98,11.39,35.1,23.64,1.45,0
20050727:1148,92.85,24.59,97.34,9.07,21.47,23.41,1.1,0
20050727:1248,141.12,113.8,66.4,6.27,8.08,23.09,1.03,0
20050727:1348,0,0,0,0,0,22.7,1.03,0
20050727:1448,0,0,0,0,0,22.6,1.03,0
20050727:1548,0,0,0,0,0,22.53,0.76,0
20050727:1648,0,0,0,0,0,22.55,0.76,0
20050727:1748,0,0,0,0,0,22.44,0.83,0
20050727:1848,0,0,0,0,0,22.1,1.52,0
20050727:1948,0,0,0,0,0,21.91,1.38,0
20050727:2048,0,0,0,0,0,21.74,1.45,0
20050727:2148,0,0,0,0,0,21.6,1.45,0
20050727:2248,0,0,0,0,0,21.48,1.59,0
20050727:2348,0,0,0,0,0,21.36,1.72,0
20050728:0048,20.4,18.39,17.64,2.5,6.24,21.34,1.72,0
20050728:0148,16.95,0,31.32,3.12,19.6,21.56,1.79,0
20050728:0248,33.21,0,53.33,3.12,33.22,21.67,2,0
20050728:0348,39.18,0,62.27,1.93,47,21.73,2.83,0
20050728:0448,85.14,0,119.85,1.62,60.86,21.78,3.38,0
20050728:0548,74.26,0,108.03,0.39,74.68,22.03,3.31,0
20050728:0648,93.45,0,131.88,0.02,86.54,21.97,2.97,0
20050728:0748,54.56,0,83.82,0.24,76.49,22.24,3.38,0
20050728:0848,45.54,0,71.74,0.85,62.71,22.26,3.38,0
20050728:0948,101.44,0,137.49,3.88,48.84,22.28,3.38,0
20050728:1048,37.52,0,58.95,3.19,35.05,22.4,3.79,0
