time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20151121:2100,14.77,81.45,0,0,0,319.2,1.24,108,90563
20151121:2200,14.83,80.3,0,0,0,316.6,1.1,110,90598
20151121:2300,15.16,77.9,0,0,0,315.4,0.97,110,90572
20151122:0000,15.3,76.85,0,0,0,314.2,0.9,107,90625
20151122:0100,14.92,78.2,0,0,0,313.25,0.97,104,90652
20151122:0200,15.59,77.85,106,336.59,55,314.4,0.76,96,90741
20151122:0300,20.08,68.45,323,634.69,98,320.8,0.62,82,90795
20151122:0400,22.59,53.55,524,776.09,117,330.6,0.9,83,90822
20151122:0500,23.82,48.9,667,806.53,143,340.2,0.62,66,90768
20151122:0600,24.75,46.3,741,782.77,176,349.4,0.28,360,90697
20151122:0700,25.32,42.4,770,834.47,156,356.8,0.9,2,90554
20151122:0800,25.66,40.65,699,754.26,178,364.8,1.03,354,90473
20151122:0900,25.87,39.15,571,678.29,171,355.2,1.1,352,90393
20151122:1000,25.69,38.65,411,648.32,126,350.6,1.17,357,90384
20151122:1100,24.87,45.1,211,538.68,76,347.4,1.03,9,90375
20151122:1200,22.83,55.8,0,0,0,350.4,1.1,26,90402
20151122:1300,20.84,62.05,0,0,0,345.6,1.24,38,90482
20151122:1400,19.58,65.4,0,0,0,344,1.31,49,90572
20151122:1500,18.29,70,0,0,0,340.2,1.52,70,90643
20151122:1600,17.26,73.1,0,0,0,334.8,1.66,86,90679
20151122:1700,16.69,75.65,0,0,0,338.2,1.59,99,90688
20151122:1800,16.39,77.4,0,0,0,342.6,1.52,112,90661
20151122:1900,16.46,79.9,0,0,0,351.6,1.31,122,90634
20151122:2000,16.24,81.35,0,0,0,352.4,1.24,130,90616
20151122:2100,16.25,82.3,0,0,0,361.2,1.17,131,90518
20151122:2200,16.43,80.8,0,0,0,359.8,0.9,130,90572
20151122:2300,16.86,77.55,0,0,0,365,0.69,122,90580
20151123:0000,16.9,77.25,0,0,0,364.4,0.69,112,90580
20151123:0100,16.36,82.6,0,0,0,359.65,0.9,102,90643
20151123:0200,16.98,84.8,80,127.71,61,356.2,0.76,101,90732
20151123:0300,21.02,65.4,230,190.55,163,343.8,0.69,94,90822
20151123:0400,22.94,53.65,448,460.22,208,352.4,0.97,103,90866
20151123:0500,24.15,50,455,199.43,326,359.6,0.55,116,90848
20151123:0600,25.12,48.1,407,70.92,356,367.4,0.07,37,90759
20151123:0700,25.57,47.3,383,46.36,349,373.4,0.28,56,90661
20151123:0800,26.01,45.95,607,463.23,288,374.2,0.41,7,90572
20151123:0900,26.17,45.2,579,717.67,157,376.4,0.62,352,90482
20151123:1000,26.12,44.65,401,600.03,138,374.2,0.83,0,90447
20151123:1100,25.52,46.6,184,340.36,99,374,0.97,16,90429
20151123:1200,23.81,58.65,0,0,0,366.8,0.97,35,90447
20151123:1300,22.05,64.75,0,0,0,366,1.1,53,90500
20151123:1400,21.21,65.05,0,0,0,377.8,1.45,72,90572
20151123:1500,20.48,66,0,0,0,375.2,1.59,83,90634
20151123:1600,19.57,70.9,0,0,0,365.8,1.45,96,90706
20151123:1700,18.87,76.4,0,0,0,368.2,1.24,109,90697
20151123:1800,18.43,78.15,0,0,0,366.6,1.1,118,90723
20151123:1900,18.27,80.8,0,0,0,368.6,1.03,140,90661
20151123:2000,18.32,79.7,0,0,0,372,0.9,140,90670
20151123:2100,18.35,79.05,0,0,0,376,0.76,139,90598
20151123:2200,18.15,79.1,0,0,0,369.8,0.83,134,90607
20151123:2300,18.13,79.6,0,0,0,378,0.83,133,90554
20151124:0000,18.16,79.8,0,0,0,380.4,0.83,126,90616
20151124:0100,17.96,82.75,0,0,0,377.25,0.9,109,90661
20151124:0200,18.21,85.95,94,260.18,56,370,0.76,99,90741
20151124:0300,21.61,65.8,300,521.87,118,383.4,0.62,91,90822
20151124:0400,22.94,58,484,615.13,165,390.6,0.9,101,90875
20151124:0500,23.93,54.25,661,804.34,143,391.6,0.9,111,90848
20151124:0600,24.47,53.1,690,626.7,241,387,0.62,122,90786
20151124:0700,26.07,49.5,648,463.76,309,393.45,0.97,10,90661
20151124:0800,26.38,48.5,648,591.3,242,404.05,1.38,358,90580
20151124:0900,26.04,48.9,578,716.25,158,408.85,1.66,351,90491
20151124:1000,25.72,49.35,408,647.44,125,415.65,2,356,90473
20151124:1100,25.05,51.8,161,212.89,108,417.25,1.86,4,90455
20151124:1200,23.89,55,0,0,0,399.05,1.72,13,90482
20151124:1300,22.93,57.95,0,0,0,393.6,1.72,24,90563
20151124:1400,22.02,61.2,0,0,0,380.6,1.72,41,90625
20151124:1500,21.36,63.85,0,0,0,382.4,1.66,53,90679
20151124:1600,20.7,66.65,0,0,0,375,1.66,63,90714
20151124:1700,20.06,69.55,0,0,0,370,1.59,66,90714
20151124:1800,19.39,73.1,0,0,0,364,1.52,63,90732
20151124:1900,18.62,78.85,0,0,0,356,1.52,58,90688
20151124:2000,18.07,81.05,0,0,0,353.8,1.59,54,90670
20151124:2100,17.55,83,0,0,0,348.6,1.59,50,90625
20151124:2200,17.12,84.75,0,0,0,347.2,1.59,52,90634
20151124:2300,16.74,86.2,0,0,0,345.4,1.59,55,90643
20151125:0000,16.38,87.25,0,0,0,342.6,1.59,60,90652
20151125:0100,16.09,88.75,0,0,0,340.05,1.59,65,90706
20151125:0200,16.84,88.35,97,299.99,54,337.2,1.38,64,90759
20151125:0300,20.5,71.1,312,615.79,99,340,1.72,60,90822
20151125:0400,22.26,63.2,503,715.51,134,346.4,2.14,56,90822
20151125:0500,23.64,57.9,658,803.15,143,352.4,2.14,47,90795
20151125:0600,24.69,54,748,840.5,148,358.8,2.07,37,90723
20151125:0700,25.37,50.2,770,863.2,141,361.2,2,42,90625
20151125:0800,25.89,47.3,707,810.6,152,364.2,1.79,41,90518
20151125:0900,26.12,45.25,592,786.53,132,365.4,1.79,42,90447
20151125:1000,25.95,44.3,66,0,66,364.6,1.93,44,90464
20151125:1100,25.24,45.95,197,443.1,87,362,1.79,43,90438
20151125:1200,23.66,50.35,0,0,0,358,1.79,40,90473
