time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20070101:0000,16.62,59.83,0,0,0,306.43,1.37,322,90759
20070101:0100,16.93,57.84,0,0,0,304.52,1.36,327,90795
20070101:0200,17.25,55.86,23,0,23,302.6,1.35,332,90911
20070101:0300,17.56,53.87,238,537.08,91,300.69,1.34,342,90982
20070101:0400,17.88,51.89,442,703.49,125,298.78,1.33,339,91045
20070101:0500,18.19,49.9,607,789.18,144,296.86,1.32,332,91045
20070101:0600,18.51,47.92,714,832.53,154,294.95,1.31,318,90973
20070101:0700,18.82,45.93,747,829.72,164,293.03,1.3,326,90857
20070101:0800,22.15,34.55,712,815.27,162,313.6,2.07,322,90759
20070101:0900,22.27,33.8,607,772.23,151,315.6,2.21,324,90706
20070101:1000,21.99,34,441,677.63,132,316.2,2.21,325,90741
20070101:1100,21.26,35.25,246,567.25,87,315.2,2.21,328,90714
20070101:1200,19.78,40.1,40,199.03,25,312.6,1.79,332,90732
20070101:1300,18.11,45.25,0,0,0,307.8,1.72,337,90786
20070101:1400,16.62,52.4,0,0,0,304.2,1.59,343,90875
20070101:1500,15.02,64.2,0,0,0,300.6,1.38,344,90929
20070101:1600,14.27,64.8,0,0,0,298.2,1.31,343,90982
20070101:1700,13.82,64.9,0,0,0,296.2,1.31,342,90982
20070101:1800,13.31,66.2,0,0,0,293.6,1.31,344,90929
20070101:1900,12.46,69.75,0,0,0,291.6,1.45,359,90893
20070101:2000,12.06,70.9,0,0,0,289.8,1.45,8,90866
20070101:2100,11.55,72.55,0,0,0,288.8,1.52,17,90831
20070101:2200,11,74.3,0,0,0,287.2,1.59,22,90839
20070101:2300,10.52,75.55,0,0,0,286.2,1.66,26,90857
20070102:0000,10.16,76.25,0,0,0,285.4,1.72,28,90902
20070102:0100,10.02,76.35,0,0,0,284.6,1.66,31,90964
20070102:0200,10.3,75.8,22,0,22,283.6,1.45,40,91063
20070102:0300,13.95,69.05,237,538.36,90,286.8,0.9,42,91107
20070102:0400,17.78,48.85,442,703.92,125,293.2,1.24,32,91179
20070102:0500,19.53,41.45,607,788.97,144,301,1.79,360,91179
20070102:0600,20.67,38.35,715,831.78,155,307.8,2.21,344,91116
20070102:0700,21.27,36.05,749,829.9,165,311.2,2.55,333,91009
20070102:0800,21.7,35.2,713,816.46,161,314,2.62,331,90920
20070102:0900,21.78,35,619,818.83,134,315.6,2.69,333,90839
20070102:1000,21.45,35.75,444,678.93,133,315.6,2.76,337,90822
20070102:1100,20.61,37.85,242,520.3,95,314,2.62,343,90804
20070102:1200,19.19,42.85,43,218.98,26,310.6,2,348,90839
20070102:1300,17.63,48.05,0,0,0,306.2,1.86,353,90884
20070102:1400,16.28,54.9,0,0,0,302.6,1.52,357,90956
20070102:1500,14.89,65.75,0,0,0,299.8,1.24,359,90991
20070102:1600,15.1,59.95,0,0,0,297.4,0.9,7,91000
20070102:1700,15.5,56.35,0,0,0,295.4,0.62,19,91018
20070102:1800,15.1,57.8,0,0,0,293.4,0.48,36,90938
20070102:1900,14.99,58.25,0,0,0,293.4,0.48,12,90920
20070102:2000,14.74,59.15,0,0,0,292.6,0.48,26,90884
20070102:2100,14.46,60.1,0,0,0,291.8,0.55,36,90839
20070102:2200,14.21,60.85,0,0,0,291.2,0.62,48,90857
20070102:2300,13.96,61.6,0,0,0,290.2,0.62,63,90848
20070103:0000,13.76,62.15,0,0,0,290,0.62,82,90866
20070103:0100,13.71,62.6,0,0,0,289.4,0.62,97,90911
20070103:0200,13.61,63,22,0,22,289,0.62,109,90938
20070103:0300,13.76,81.9,237,535.81,91,292.4,0.28,119,91018
20070103:0400,18.31,51.6,442,704.21,125,299.2,0.28,113,91081
20070103:0500,19.65,48.15,601,759.68,155,307,0.34,275,91090
20070103:0600,20.75,45.3,716,832.4,155,312.8,0.97,277,91027
20070103:0700,21.61,41.2,754,845.58,158,314.6,1.52,304,90929
20070103:0800,22.27,39.4,707,786.55,174,318,1.86,307,90839
20070103:0900,22.54,38.3,614,789.29,145,319.8,2,312,90759
20070103:1000,22.37,38.15,446,680.11,133,320.4,2.14,318,90750
20070103:1100,21.63,39.35,244,523.15,95,318.8,2.21,326,90732
20070103:1200,20.07,44.65,45,225.16,27,315.4,1.86,334,90741
20070103:1300,18.25,50.5,0,0,0,310.4,1.86,344,90813
20070103:1400,16.84,56.6,0,0,0,306.2,1.72,353,90875
20070103:1500,15.36,65.25,0,0,0,302.6,1.59,1,90938
20070103:1600,14,73.55,0,0,0,299.4,1.45,5,91000
20070103:1700,13.73,72.2,0,0,0,297.2,1.17,8,90973
20070103:1800,14.14,68.7,0,0,0,295.6,1.03,8,90947
20070103:1900,13.36,72.65,0,0,0,295.4,1.24,18,90884
20070103:2000,12.43,76.7,0,0,0,293.4,1.38,28,90822
20070103:2100,11.61,80,0,0,0,291.4,1.52,37,90777
20070103:2200,10.85,83,0,0,0,289.4,1.59,46,90813
20070103:2300,10.18,85.6,0,0,0,287.2,1.72,50,90822
20070104:0000,9.66,87.4,0,0,0,285.8,1.72,54,90822
20070104:0100,9.49,87.85,0,0,0,284,1.66,61,90848
20070104:0200,9.69,87.65,22,0,22,282.6,1.45,72,90920
20070104:0300,13.67,77.9,236,536.77,90,285.2,0.9,81,91000
20070104:0400,17.48,58.4,441,702.14,125,292.4,1.03,85,91027
20070104:0500,19.48,48.55,601,759.25,155,301.2,0.28,119,91027
20070104:0600,21.01,42.7,716,832.9,154,308.2,0.76,255,90964
20070104:0700,21.95,38.9,747,815.77,171,313,1.31,303,90866
20070104:0800,22.67,37.75,709,787.6,174,316.6,1.72,310,90768
20070104:0900,22.92,37.8,617,790.04,146,319.6,2,317,90697
20070104:1000,22.69,38.85,451,694.17,130,320,1.93,324,90688
20070104:1100,22,40.8,248,532.82,95,319.4,1.93,330,90679
20070104:1200,20.52,46.65,42,170.12,28,316,1.59,340,90679
20070104:1300,18.57,53.45,0,0,0,311.4,1.66,354,90723
20070104:1400,16.9,60.5,0,0,0,307,1.66,8,90786
20070104:1500,15.35,68.3,0,0,0,303.8,1.66,15,90857
20070104:1600,14.02,74.95,0,0,0,300.8,1.66,20,90884
20070104:1700,13.08,78.45,0,0,0,299,1.59,24,90893
20070104:1800,12.46,79.75,0,0,0,297.6,1.59,33,90857
20070104:1900,11.58,80.9,0,0,0,294,1.86,39,90822
20070104:2000,10.96,82.6,0,0,0,291.8,1.86,50,90786
20070104:2100,10.51,82.55,0,0,0,289.6,1.93,61,90759
20070104:2200,10.02,81.95,0,0,0,287.2,1.86,71,90768
20070104:2300,9.52,81.3,0,0,0,284.6,1.79,78,90795
20070105:0000,9.11,80.45,0,0,0,282.8,1.79,79,90777
20070105:0100,8.76,79.4,0,0,0,281.8,1.86,83,90848
20070105:0200,8.88,79.8,22,0,22,281.4,1.79,89,90911
20070105:0300,13.43,63.25,236,533.88,91,284,1.31,91,90982
20070105:0400,17.21,50.65,441,702.16,125,290.6,1.38,92,91090
20070105:0500,19.46,44.9,608,789.32,144,300,1.17,100,91054
20070105:0600,20.91,41.95,717,833.3,154,307.6,0.62,108,90982
20070105:0700,21.9,39.2,757,846.76,158,314.8,0.34,46,90875
20070105:0800,22.63,37.4,711,788.55,174,318.4,0.62,5,90759
20070105:0900,22.99,36.35,619,790.69,146,320.6,1.03,2,90688
20070105:1000,22.87,36.05,454,695.08,131,321.6,1.31,11,90670
20070105:1100,22.25,36.2,251,535.33,96,320.8,1.66,20,90661
20070105:1200,20.69,39.85,50,259.77,28,317.8,1.72,23,90679
20070105:1300,18.65,43.7,0,0,0,313,2,33,90741
20070105:1400,17.03,46.4,0,0,0,309.2,2.14,40,90804
20070105:1500,15.84,48.05,0,0,0,304.4,2.14,50,90884
20070105:1600,14.89,49.1,0,0,0,299,2.14,56,90911
20070105:1700,14.12,50,0,0,0,295,2.14,59,90902
20070105:1800,13.49,50.75,0,0,0,291.8,2.14,62,90884
20070105:1900,13.02,50.7,0,0,0,289.8,2.28,64,90831
20070105:2000,12.52,51.3,0,0,0,288,2.21,67,90813
20070105:2100,12,52.15,0,0,0,286.2,2.14,68,90777
20070105:2200,11.43,53.8,0,0,0,284.8,2.07,72,90813
20070105:2300,10.83,55.95,0,0,0,283.6,2,78,90813
20070106:0000,10.18,58.9,0,0,0,282.8,1.93,87,90848
20070106:0100,9.5,64.45,0,0,0,282,1.79,97,90920
20070106:0200,9.24,71.75,21,0,21,281,1.66,108,90964
20070106:0300,13.54,55.35,235,534.52,90,283.2,1.17,111,91027
20070106:0400,17.72,40.55,441,702.04,125,289.2,1.31,108,91090
20070106:0500,20.06,34.8,609,788.62,145,297.4,1.45,116,91081
20070106:0600,21.49,33.7,719,833.58,155,304.8,1.38,112,90973
20070106:0700,22.62,31.85,751,815.45,173,310.2,1.66,124,90831
20070106:0800,23.25,30.5,725,834.81,155,313.8,1.31,120,90714
20070106:0900,23.5,30,622,792.91,146,317,0.62,110,90661
20070106:1000,23.41,29.8,456,695.89,131,318.4,0.41,20,90661
20070106:1100,22.93,30.4,255,547.98,95,318.2,1.24,357,90697
20070106:1200,21.21,35.1,47,195.13,30,316.6,1.59,2,90759
20070106:1300,19.07,39.3,0,0,0,313.2,1.93,12,90813
20070106:1400,17.51,42,0,0,0,310.2,2.28,24,90920
20070106:1500,16.37,43.35,0,0,0,306,2.34,39,90964
20070106:1600,15.48,44.05,0,0,0,300.8,2.34,54,91000
20070106:1700,14.69,45,0,0,0,296,2.34,61,91000
20070106:1800,13.95,46.65,0,0,0,292.2,2.34,61,90964
20070106:1900,13.59,48.3,0,0,0,292,2.14,72,90947
20070106:2000,12.88,49.95,0,0,0,290.6,2.07,75,90920
20070106:2100,12.25,51.85,0,0,0,288.6,2.07,77,90884
20070106:2200,11.52,55,0,0,0,287,1.93,82,90884
20070106:2300,10.67,60.05,0,0,0,285.8,1.79,89,90884
20070107:0000,9.92,64.65,0,0,0,284.4,1.66,99,90938
20070107:0100,9.54,67.9,0,0,0,283.8,1.52,110,90964
20070107:0200,9.77,69.55,21,0,21,283.8,1.38,119,91027
20070107:0300,13.9,61.05,228,487.02,96,285.2,0.83,128,91063
20070107:0400,18.47,42.1,434,664.03,135,292.4,1.03,140,91098
20070107:0500,20.45,34.6,603,758.94,156,300.2,1.45,161,91072
20070107:0600,21.55,32.4,712,802.76,168,307.6,1.17,164,90991
20070107:0700,22.13,32.2,761,847.53,159,311.8,0.9,174,90875
20070107:0800,22.62,31.5,728,835.44,156,315.2,0.69,194,90759
20070107:0900,22.84,31.2,624,793.35,146,317.2,0.55,236,90679
20070107:1000,22.77,31.1,459,698.74,131,317.6,0.55,277,90652
20070107:1100,22.3,31.55,257,550.14,95,316.8,0.9,314,90652
20070107:1200,20.98,37.15,50,200.92,32,313.8,1.17,336,90679
20070107:1300,18.68,46.1,0,0,0,309.4,1.31,354,90723
20070107:1400,16.82,51.55,0,0,0,306.8,1.59,13,90813
20070107:1500,15.25,57.6,0,0,0,304.6,1.72,26,90857
20070107:1600,14.03,63.35,0,0,0,302,1.72,38,90875
20070107:1700,13.03,67.85,0,0,0,299.4,1.66,53,90848
20070107:1800,12.34,69.9,0,0,0,296.6,1.66,65,90795
20070107:1900,12.49,67.15,0,0,0,293.2,1.45,64,90768
20070107:2000,11.68,70,0,0,0,291.2,1.66,57,90768
20070107:2100,10.71,73.6,0,0,0,290,1.93,53,90768
20070107:2200,10.21,75.4,0,0,0,288.6,1.93,57,90786
20070107:2300,9.72,77.7,0,0,0,287,1.86,62,90804
20070108:0000,9.28,79.8,0,0,0,285.6,1.79,75,90848
20070108:0100,8.94,82.1,0,0,0,284,1.72,78,90938
20070108:0200,9.11,82.45,21,0,21,282.6,1.59,88,90973
20070108:0300,13.5,68.9,235,535.29,90,285.2,0.97,104,91018
20070108:0400,17.77,51.4,434,663.65,135,292,1.1,118,91072
20070108:0500,20.01,40.65,604,759.74,156,300.8,1.45,154,91036
20070108:0600,21.26,37.35,713,802.87,168,307.4,1.38,190,90982
20070108:0700,22.03,35.9,754,817.55,172,312.4,1.31,200,90866
20070108:0800,22.65,34.45,722,805.39,169,316,1.17,217,90750
20070108:0900,22.98,33.55,627,793.71,147,318,1.03,235,90679
20070108:1000,22.92,33.3,464,712.07,128,319,0.76,255,90643
20070108:1100,22.53,33.55,262,565.64,94,317.4,0.62,283,90652
20070108:1200,21.23,51.15,52,217.17,32,315.4,0.55,315,90661
20070108:1300,19.8,44.5,0,0,0,310.4,0.48,6,90723
20070108:1400,18.51,47.55,0,0,0,307.8,0.69,39,90848
20070108:1500,17.07,52.85,0,0,0,305,0.9,57,90866
20070108:1600,15.73,58.05,0,0,0,302.6,1.03,65,90920
20070108:1700,14.59,62.3,0,0,0,300.2,1.1,87,90893
20070108:1800,14.05,63.35,0,0,0,297.8,1.1,102,90893
20070108:1900,13.22,63.7,0,0,0,292.8,1.1,131,90822
20070108:2000,13.85,58.85,0,0,0,290.6,0.9,134,90822
20070108:2100,13.76,57.75,0,0,0,288.8,0.76,129,90777
20070108:2200,13.89,55.85,0,0,0,286.8,0.62,115,90795
20070108:2300,14.02,54.05,0,0,0,286.8,0.62,94,90813
20070109:0000,13.67,54.5,0,0,0,284.4,0.97,89,90857
20070109:0100,11.95,61.55,0,0,0,284.2,1.24,96,90938
20070109:0200,11.71,63.3,21,0,21,284.8,1.17,96,91000
20070109:0300,13.48,75.8,234,535.43,89,288.2,0.48,103,91072
20070109:0400,19.33,43.55,435,663.15,136,294.4,0.76,119,91143
20070109:0500,20.87,37.15,605,760.42,156,302.6,0.83,158,91152
20070109:0600,21.92,35.45,715,802.88,169,309,0.69,175,91072
20070109:0700,22.77,33.45,756,817.05,173,314,0.9,183,90973
20070109:0800,23.4,32.1,732,836.42,156,317.4,0.97,192,90857
20070109:0900,23.7,31.35,633,810.44,141,319.2,0.83,200,90750
20070109:1000,23.67,31.2,467,714.63,128,320,0.55,220,90732
20070109:1100,23.26,31.4,266,577.46,93,318.8,0.41,263,90688
20070109:1200,21.94,46.05,55,232.48,33,316.4,0.48,304,90723
20070109:1300,20.77,38.75,0,0,0,311.4,0.48,348,90768
20070109:1400,19.57,42.55,0,0,0,308,0.62,16,90893
20070109:1500,17.84,49.85,0,0,0,305.6,0.9,25,90920
20070109:1600,16,57.75,0,0,0,303.2,1.17,32,90982
20070109:1700,15.09,61,0,0,0,300.6,1.17,49,90982
20070109:1800,14.61,62.2,0,0,0,297.8,1.1,70,90947
20070109:1900,15.73,54.9,0,0,0,296.4,0.76,124,90875
20070109:2000,15.34,55.45,0,0,0,294,0.69,133,90902
20070109:2100,14.97,55.75,0,0,0,292.4,0.69,142,90839
20070109:2200,14.88,54.85,0,0,0,291,0.62,149,90839
20070109:2300,14.96,53.25,0,0,0,289.8,0.41,157,90839
20070110:0000,15.11,51.4,0,0,0,289,0.41,166,90902
20070110:0100,15.23,49.7,0,0,0,289.2,0.28,168,90938
20070110:0200,15.4,48.55,21,0,21,288.6,0.28,181,91009
20070110:0300,16.35,51.95,228,483.7,97,292.8,0.34,164,91063
20070110:0400,20.2,41.65,428,627.07,145,299,0.62,204,91116
20070110:0500,21.59,37.3,605,760.98,155,307.6,0.69,213,91116
20070110:0600,22.61,34.9,716,804.25,168,315,0.62,229,91018
20070110:0700,23.29,34.95,758,817.85,173,320.6,0.62,289,90893
20070110:0800,23.92,33.35,727,806.36,170,322.8,0.83,306,90795
20070110:0900,24.22,32.75,629,781.02,153,324.2,1.31,320,90732
20070110:1000,24.05,33,463,677.24,140,325.4,1.59,331,90732
20070110:1100,23.38,34.15,261,526.12,102,324.8,1.72,339,90714
20070110:1200,21.78,39.35,62,308.64,32,322.6,1.66,344,90768
20070110:1300,19.71,45.35,0,0,0,318.8,1.79,354,90822
20070110:1400,18.11,51.25,0,0,0,315.8,1.79,4,90911
20070110:1500,16.7,58.45,0,0,0,313.6,1.59,14,90973
20070110:1600,15.41,67.05,0,0,0,311.4,1.38,30,90991
20070110:1700,14.81,67.5,0,0,0,308.8,1.31,49,90973
20070110:1800,14.57,66.4,0,0,0,306.6,1.17,67,90947
20070110:1900,15.73,62.7,0,0,0,308,0.9,57,90920
20070110:2000,15.07,65.1,0,0,0,307.4,0.97,61,90902
20070110:2100,14.55,66.85,0,0,0,306.2,1.03,72,90839
20070110:2200,14.48,66.45,0,0,0,304.4,1.03,80,90786
20070110:2300,14.33,66.5,0,0,0,303.2,1.03,79,90786
20070111:0000,14.81,63.8,0,0,0,301,0.97,79,90804
20070111:0100,14.78,63.35,0,0,0,299.8,0.97,76,90848
20070111:0200,14.65,63.85,20,0,20,300,0.97,75,90893
20070111:0300,15.24,74.55,234,535.2,89,301.4,0.55,74,90973
20070111:0400,19.68,51.55,428,626.35,145,307,0.9,78,91018
20070111:0500,21.12,46.55,600,732.73,166,314.8,0.41,95,90982
20070111:0600,22.23,42.65,714,789.41,175,321.8,0.34,274,90920
20070111:0700,22.82,41.35,769,850.63,159,327.2,1.03,270,90822
20070111:0800,23.38,39.35,749,886.09,135,330,1.45,278,90697
20070111:0900,23.6,38.15,639,812.22,142,332,1.59,286,90598
20070111:1000,23.49,37.6,476,731.94,125,331.6,1.72,295,90572
20070111:1100,22.89,38.15,273,593.68,92,329.6,1.79,304,90545
20070111:1200,21.54,42.9,60,260.52,34,326,1.45,317,90572
20070111:1300,19.62,49.85,0,0,0,320.6,1.38,336,90634
20070111:1400,17.78,58.05,0,0,0,316.8,1.45,360,90697
20070111:1500,16.19,65.55,0,0,0,314,1.59,21,90768
20070111:1600,15.05,70.6,0,0,0,312.2,1.66,31,90804
20070111:1700,14.21,75.45,0,0,0,311.2,1.52,38,90822
20070111:1800,13.94,75.85,0,0,0,310.2,1.38,42,90813
20070111:1900,13.55,80.55,0,0,0,313.4,1.52,42,90795
20070111:2000,13.02,82.95,0,0,0,312.6,1.59,48,90777
20070111:2100,12.33,86,0,0,0,310.4,1.66,54,90759
20070111:2200,11.85,87.5,0,0,0,308.2,1.72,60,90759
20070111:2300,11.47,88.6,0,0,0,305.2,1.79,61,90750
20070112:0000,11.11,89.55,0,0,0,303.6,1.72,67,90804
20070112:0100,10.78,90.2,0,0,0,301.8,1.72,74,90795
20070112:0200,10.8,90.65,21,0,21,300.6,1.66,77,90884
20070112:0300,15.02,76.55,228,483.2,97,303.2,1.24,75,90947
20070112:0400,18.53,62.05,429,627.72,145,310.8,1.45,79,91009
20070112:0500,20.62,53.7,601,733.12,166,320.2,1.1,99,90982
20070112:0600,21.99,48.1,724,819.84,163,328.4,0.28,179,90911
20070112:0700,22.79,43.9,592,331.01,354,333.6,1.03,272,90795
20070112:0800,23.46,41.6,499,195.63,363,337.6,1.59,282,90714
20070112:0900,23.64,40.25,550,475.25,258,344.4,1.79,288,90625
20070112:1000,23.54,39.55,479,732.05,126,343,1.86,290,90572
20070112:1100,23.04,39.85,269,542.95,102,338.6,1.86,294,90580
20070112:1200,21.77,44.65,63,273.37,35,341.8,1.45,322,90616
20070112:1300,20.05,51.1,0,0,0,342,1.45,353,90706
20070112:1400,18.53,56.85,0,0,0,331.8,1.86,18,90768
20070112:1500,17.45,61.45,0,0,0,335,1.93,27,90831
20070112:1600,16.57,65.35,0,0,0,328.8,1.72,36,90857
20070112:1700,15.82,69.55,0,0,0,331,1.45,53,90875
20070112:1800,15.15,73.15,0,0,0,333,1.52,66,90839
20070112:1900,14.58,75.7,0,0,0,320.4,1.93,55,90813
20070112:2000,14.31,76.55,0,0,0,327.8,1.93,57,90804
20070112:2100,13.84,77.9,0,0,0,318,1.93,60,90759
20070112:2200,13.3,79.35,0,0,0,309.4,1.86,63,90714
20070112:2300,12.86,79.85,0,0,0,310.6,1.86,61,90688
20070113:0000,12.4,80.4,0,0,0,306.6,1.79,59,90750
20070113:0100,12.04,81.1,0,0,0,306.8,1.79,58,90804
20070113:0200,11.94,81.6,21,0,21,305.6,1.72,56,90911
20070113:0300,14.78,68.25,215,394.29,108,320.6,1.59,53,90982
20070113:0400,17.68,57.25,407,523.04,170,329.6,1.72,50,91027
20070113:0500,19.66,52.15,558,561.82,224,331.4,1.52,47,91018
20070113:0600,20.96,49.6,653,570.08,262,337.6,1.03,34,90929
20070113:0700,21.83,49.35,628,407.77,334,341,0.83,354,90831
20070113:0800,22.7,47.15,723,764.16,190,349,1.38,317,90723
20070113:0900,22.86,45.55,648,829.85,136,347.4,2.14,308,90634
20070113:1000,22.52,45.9,482,734.14,126,365.8,2.34,326,90589
20070113:1100,21.65,47.6,279,599.38,93,349,2.62,346,90616
20070113:1200,20.3,50.55,66,285.5,36,345,2.34,360,90661
20070113:1300,18.63,54.55,0,0,0,336,2.28,10,90723
20070113:1400,17.36,57.95,0,0,0,323.8,2.07,24,90786
20070113:1500,16.39,60.7,0,0,0,317.4,2,35,90822
20070113:1600,15.55,63.2,0,0,0,313.8,1.86,43,90866
20070113:1700,14.77,65.4,0,0,0,312.8,1.72,51,90884
20070113:1800,14.08,67.15,0,0,0,312.6,1.72,56,90866
20070113:1900,13.43,66.35,0,0,0,311.2,1.79,55,90831
20070113:2000,12.98,66.35,0,0,0,316,1.66,56,90786
20070113:2100,12.48,66.2,0,0,0,309.4,1.72,51,90741
20070113:2200,11.91,66.25,0,0,0,301.8,1.79,47,90670
20070113:2300,11.36,66.8,0,0,0,299.2,1.72,48,90679
20070114:0000,10.83,67.45,0,0,0,298.8,1.66,52,90714
20070114:0100,10.28,70.95,0,0,0,296.6,1.59,58,90732
20070114:0200,10.15,76,21,0,21,296.6,1.38,68,90848
20070114:0300,14.03,56.8,222,437.93,103,299.2,0.9,73,90911
20070114:0400,17.64,51,430,627.89,145,305.8,0.83,68,90973
20070114:0500,19.96,51.15,603,733.56,166,316.4,0,228,90956
20070114:0600,21.61,49.9,727,821.79,162,323.6,1.31,247,90866
20070114:0700,22.57,46.8,771,836.73,166,326.6,1.86,259,90741
20070114:0800,23.35,44,750,857.28,150,331,2.41,268,90616
20070114:0900,23.64,41.55,634,756.93,165,338.4,2.55,278,90518
20070114:1000,23.43,40.7,488,750.49,122,336.4,2.48,287,90491
20070114:1100,22.72,41.55,270,517.41,108,336.8,2.34,301,90491
20070114:1200,21.28,45.2,58,167.04,40,333.8,1.72,332,90545
20070114:1300,19.38,49.3,0,0,0,329.6,1.72,358,90589
20070114:1400,17.86,52.55,0,0,0,322.6,1.72,16,90697
20070114:1500,16.7,54.7,0,0,0,320,1.66,30,90741
20070114:1600,15.54,58.75,0,0,0,313.6,1.52,50,90795
20070114:1700,14.48,63.45,0,0,0,316.4,1.45,68,90768
20070114:1800,13.46,67.2,0,0,0,307.4,1.45,71,90750
20070114:1900,12.54,66.25,0,0,0,306,1.52,84,90697
20070114:2000,12.07,66.7,0,0,0,305,1.45,88,90688
20070114:2100,11.72,66.35,0,0,0,304,1.45,88,90616
20070114:2200,11.42,66.3,0,0,0,302.4,1.45,88,90598
20070114:2300,11.19,66.15,0,0,0,301.2,1.45,92,90580
20070115:0000,10.99,66.15,0,0,0,300.2,1.45,91,90616
20070115:0100,10.66,68.85,0,0,0,300,1.52,91,90652
20070115:0200,10.8,71.75,21,0,21,300.4,1.45,101,90741
20070115:0300,15.09,61.95,229,484.99,97,304.4,0.76,116,90813
20070115:0400,19.33,49.3,441,677.27,133,313,1.03,142,90866
20070115:0500,21.3,50.3,615,777.18,151,323.8,1.66,185,90848
20070115:0600,22.73,48.4,729,821.16,163,332.4,2.28,214,90795
20070115:0700,23.55,46.85,774,837.03,167,338.6,2.41,237,90670
20070115:0800,24.3,43.95,753,858.56,150,343.6,2.9,254,90563
20070115:0900,24.61,42.25,655,832.42,137,360.8,3.03,263,90447
20070115:1000,24.46,41.85,483,711.55,134,354.2,2.83,270,90393
20070115:1100,24,42.5,288,626.77,90,351.2,2.62,278,90348
20070115:1200,22.73,47.3,72,316.86,37,347.6,1.59,306,90384
20070115:1300,21.11,53.45,0,0,0,352.6,1.24,340,90438
20070115:1400,19.37,61.95,0,0,0,341.8,1.31,10,90509
20070115:1500,17.87,67.75,0,0,0,335.8,1.45,28,90563
20070115:1600,16.85,71.55,0,0,0,338.2,1.38,45,90625
20070115:1700,16.02,73.7,0,0,0,328.6,1.24,60,90625
20070115:1800,15.6,72.35,0,0,0,321.4,1.1,85,90598
20070115:1900,15.12,71.6,0,0,0,320.4,1.1,106,90536
20070115:2000,14.63,71.6,0,0,0,316.4,1.1,122,90509
20070115:2100,14.31,70.9,0,0,0,313.8,1.03,133,90420
20070115:2200,14.03,70.7,0,0,0,311.8,1.03,140,90420
20070115:2300,13.49,72.85,0,0,0,312,1.24,155,90393
20070116:0000,12.94,76.6,0,0,0,312.6,1.45,172,90447
20070116:0100,12.74,79.85,0,0,0,313.65,1.52,182,90518
20070116:0200,13.16,80.9,21,0,21,317.2,1.38,189,90598
20070116:0300,16.52,78.6,229,484.06,97,326,0.9,203,90688
20070116:0400,21.18,57.5,442,678.05,133,331.4,1.72,225,90759
20070116:0500,22.57,51.5,617,777.04,152,340.2,3.17,239,90714
20070116:0600,23.62,47.15,731,821.89,163,343.4,3.66,247,90661
20070116:0700,24.17,44.45,785,870.24,152,351.4,3.52,257,90545
20070116:0800,24.74,40.1,756,859.75,150,350,3.72,264,90438
20070116:0900,24.87,37,651,803.18,149,351.6,3.72,271,90375
20070116:1000,24.59,35.6,487,711.5,136,347.4,3.59,278,90348
20070116:1100,23.87,35.4,284,574.12,101,342,3.1,288,90339
20070116:1200,22.43,39.1,70,256.22,41,334.8,2.14,309,90411
20070116:1300,20.49,44.6,0,0,0,325,2,333,90500
20070116:1400,19.01,50.7,0,0,0,318.6,1.86,347,90625
20070116:1500,17.65,58.35,0,0,0,316.2,1.66,357,90688
20070116:1600,16.37,66.9,0,0,0,317.8,1.52,6,90750
20070116:1700,15.23,71.2,0,0,0,314.6,1.72,17,90759
20070116:1800,14.39,72.9,0,0,0,304.2,2.14,22,90759
20070116:1900,13.88,70.2,0,0,0,300,2.34,33,90714
20070116:2000,13.47,64.75,0,0,0,295.8,2.41,38,90732
20070116:2100,12.99,59.7,0,0,0,290.4,2.48,41,90697
20070116:2200,12.55,56.45,0,0,0,285.6,2.48,44,90697
20070116:2300,12.17,54.65,0,0,0,283,2.48,44,90723
20070117:0000,11.87,53.6,0,0,0,280.4,2.48,42,90795
20070117:0100,11.72,53.4,0,0,0,279.2,2.48,42,90893
20070117:0200,11.74,55.05,21,0,21,278.2,2.34,45,91000
20070117:0300,13.92,51.15,236,534.21,90,279.4,2.21,48,91090
20070117:0400,16.82,42.25,450,718.11,122,284.4,2.76,51,91134
20070117:0500,18.95,38.15,618,778.46,151,292,2.9,49,91143
20070117:0600,20.52,34.75,734,822.52,164,298.4,2.69,42,91081
20070117:0700,21.25,30.05,779,838.74,167,300,2.41,34,90982
20070117:0800,21.91,28.25,751,828.35,165,303.2,2.14,26,90875
20070117:0900,22.18,27.4,647,775.72,160,305.6,2.07,17,90795
20070117:1000,22.04,27.05,485,687.21,144,305.8,2.21,12,90759
20070117:1100,21.33,27.3,281,534.8,109,304.4,2.48,12,90777
20070117:1200,19.9,29.8,73,267.42,42,301.6,2.34,12,90822
20070117:1300,17.98,33.1,0,0,0,296.8,2.41,15,90902
20070117:1400,16.67,36.35,0,0,0,292.6,2.34,22,91000
20070117:1500,15.61,39.1,0,0,0,288.6,2.28,31,91063
20070117:1600,14.73,41.55,0,0,0,285.4,2.21,38,91116
20070117:1700,13.94,43.65,0,0,0,282.8,2.14,42,91125
20070117:1800,13.21,45.6,0,0,0,280.8,2.14,45,91116
20070117:1900,12.66,46.45,0,0,0,278.6,2.28,46,91072
20070117:2000,12.09,47.2,0,0,0,277.2,2.28,47,91036
20070117:2100,11.58,47.95,0,0,0,275.8,2.21,49,90982
20070117:2200,11.05,48.85,0,0,0,275.2,2.21,53,90956
